資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,1,4,東港高中,立人高中,2,1,正方勝,,,,,大會公告｜5/30第一時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,1,5,屏東女中,景美女中,3,0,正方勝,,,,,大會公告｜5/30第一時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,1,6,百齡高中,學抒情文的拉完了,1,2,反方勝,,,,,大會公告｜5/30第一時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,2,6,學抒情文的拉完了,百齡高中,1,2,反方勝,,,,,
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,2,1,成功高中,忍辱附中,2,1,正方勝,,,,,大會公告｜5/30第二時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,2,2,高市中正,鐘米糕小蛋糕我吃吃吃吃吃吃,0,3,反方勝,,,,,大會公告｜5/30第二時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,2,3,家齊高中,學測再加365,1,2,反方勝,,,,,大會公告｜5/30第二時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,2,4,立人高中,東港高中,2,1,正方勝,,,,,大會公告｜5/30第二時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,2,5,景美女中,屏東女中,0,3,反方勝,,,,,大會公告｜5/30第二時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,3,1,成功高中,和平高中,2,1,正方勝,,,,,大會公告｜5/30第三時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,3,2,鐘米糕小蛋糕我吃吃吃吃吃吃,前鎮高中,3,0,正方勝,,,,,大會公告｜5/30第三時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,4,1,學測再加365,立人高中,3,0,正方勝,,,,,大會公告｜5/30第四時段比賽公告
公開戰績,青雲盃全國高中職辯論錦標賽,2026-05-30,4,2,屏東女中,學抒情文的拉完了,1,2,反方勝,,,,,大會公告｜5/30第四時段比賽公告
公開榮譽,火雞肉飯盃全國高中職辯論比賽,2026-05-24,,,,,,,,最佳辯士,洪睿榮,竹科實中(二),player,
公開榮譽,火雞肉飯盃全國高中職辯論比賽,2026-05-24,,,,,,,,最佳辯士,林新秜,北一女中,player,
公開榮譽,火雞肉飯盃全國高中職辯論比賽,2026-05-24,,,,,,,,最佳辯士,陳語治,板橋高中,player,
公開榮譽,火雞肉飯盃全國高中職辯論比賽,2026-05-24,,,,,,,,最佳辯士,王嘉歆,鳳新高中,player,
公開榮譽,火雞肉飯盃全國高中職辯論比賽,2026-05-24,,,,,,,,冠軍,竹科實中(二),,school,
公開榮譽,火雞肉飯盃全國高中職辯論比賽,2026-05-24,,,,,,,,亞軍,北一女中,,school,
公開榮譽,火雞肉飯盃全國高中職辯論比賽,2026-05-24,,,,,,,,季軍,鳳新高中、板橋高中,,school,
公開榮譽,輔仁盃全國高中職辯論比賽,2026-05-16,,,,,,,,冠軍,南山高中,,school,
公開榮譽,輔仁盃全國高中職辯論比賽,2026-05-16,,,,,,,,亞軍,建國中學,,school,
公開榮譽,輔仁盃全國高中職辯論比賽,2026-05-16,,,,,,,,季軍,瑞祥高中,,school,
公開榮譽,輔仁盃全國高中職辯論比賽,2026-05-16,,,,,,,,季軍,馬公高中,,school,
公開榮譽,輔仁盃全國高中職辯論比賽,2026-05-16,,,,,,,,最佳辯士,李欣芸,南山高中,player,
公開榮譽,輔仁盃全國高中職辯論比賽,2026-05-16,,,,,,,,最佳辯士,蔡子竣,南山高中,player,
公開榮譽,輔仁盃全國高中職辯論比賽,2026-05-16,,,,,,,,最佳辯士,賴研晰,瑞祥高中,player,
公開榮譽,輔仁盃全國高中職辯論比賽,2026-05-16,,,,,,,,最佳辯士,蔡育瑞,建國中學,player,
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,冠軍,高雄中學,高雄中學,團體獎,
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,亞軍,中山女高,中山女高,團體獎,
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,季軍,明道中學,明道中學,團體獎,
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,殿軍,成功高中,成功高中,團體獎,
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳秉銨,高雄中學,個人獎,
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,劉芷甯,中山女高,個人獎,
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳彥碩,明道中學,個人獎,
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳羿廷,成功高中,個人獎,
公開榮譽,青雲盃全國高中職辯論錦標賽,2026-05-31,,,,,,,,最佳辯士,陳羿廷,成功高中,player,最終
公開榮譽,青雲盃全國高中職辯論錦標賽,2026-05-31,,,,,,,,最佳辯士,薛舒晴,學抒情文的拉完了,player,最終
公開榮譽,青雲盃全國高中職辯論錦標賽,2026-05-31,,,,,,,,最佳辯士,陳孟劭,學測再加365,player,最終
公開榮譽,青雲盃全國高中職辯論錦標賽,2026-05-31,,,,,,,,最佳辯士,施又睿,鐘米糕小蛋糕我吃吃吃吃吃吃,player,最終
公開榮譽,青雲盃全國高中職辯論錦標賽,2026-05-31,,,,,,,,季軍,成功高中,,school,最終
公開榮譽,青雲盃全國高中職辯論錦標賽,2026-05-31,,,,,,,,季軍,學抒情文的拉完了,,school,最終
公開榮譽,青雲盃全國高中職辯論錦標賽,2026-05-31,,,,,,,,亞軍,學測再加365,,school,最終
公開榮譽,青雲盃全國高中職辯論錦標賽,2026-05-31,,,,,,,,冠軍,鐘米糕小蛋糕我吃吃吃吃吃吃,,school,最終
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,冠軍,高雄中學,,school,最終
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,亞軍,中山女高,,school,最終
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,季軍,明道中學,,school,最終
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,殿軍,成功高中,,school,最終
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳秉銨,高雄中學,player,最終
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,劉芷甯,中山女高,player,最終
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳彥碩,明道中學,player,最終
公開榮譽,風雩盃中學辯論錦標賽,2026-05-24,,,,,,,,最佳辯士,陳羿廷,成功高中,player,最終
